9 things successful people do differently,,,,,,,,,,,,,,,,,,,,,,,
anatomi tubuh manusia: untuk mahasiswa keperawatan edisi 2,,,,,,,,,,,,,,,,,,,,,,,
kalor dan termodinamika,kimia dasar: prinsip dan terapan modern edisi keempat jilid 3,kimia organik,,,,,,,,,,,,,,,,,,,,,
once upon a cow : siap jadi orang sukses? inilah kisah inspiratif untuk meraih kesyksesan dengan menyingkirkan segala hambatan,refleksi sam santoso when i am getting older,,,,,,,,,,,,,,,,,,,,,,
membangun masyarakat memberdayakan rakyat: kajian strategis pembangunan kesejahteraan sosial & pekerjaan sosial,pengantar pendidikan : sebuah studi awal tentang dasar- dasar pendidikan pada umumnya dan pendidikan di indonesia,,,,,,,,,,,,,,,,,,,,,,
periodisasi sejarah sriwijaya: bermula di minanga komering ulu sumatera selatan berjaya di palembang berakhir di jambi,,,,,,,,,,,,,,,,,,,,,,,
kumpulan risalah dakwah hasan al banna ( jilid 2 ),,,,,,,,,,,,,,,,,,,,,,,
statistik,,,,,,,,,,,,,,,,,,,,,,,
dasar- dasar proteksi radiasi,,,,,,,,,,,,,,,,,,,,,,,
politik indonesia: transisi menuju demokrasi,sistem politik indonesia,,,,,,,,,,,,,,,,,,,,,,
bahasa perempuan: sebuah potret ideologi perjuangan,dinamika etika & hukum kedokteran: dalam tantangan zaman,etika politik pejabat negara,,,,,,,,,,,,,,,,,,,,,
konsep dasar pendidikan anak usia dini,,,,,,,,,,,,,,,,,,,,,,,
kimia dasar: prinsip-prinsip & aplikasi modern edisi kesembilan jilid 3,,,,,,,,,,,,,,,,,,,,,,,
sears and zemansky: fisika universitas edisi kesepuluh jilid 1,the best american short stories,,,,,,,,,,,,,,,,,,,,,,
ekonomi  pembangunan dan perencanaan,,,,,,,,,,,,,,,,,,,,,,,
astronomy : demystified  a self-teaching guide,food science: the biochemistry of food and nutrition third edition,hukum adat indonesia,memahami ilmu pemerintahan: suatu kajian teori konsep dan pengembangannya,pelajaran hukum pidana bagian 1,pelajaran hukum pidana bagian 3: percobaan & penyertaan,secrets of indian gastronomy: a collection of traditional indian recipes,,,,,,,,,,,,,,,,,
teknik praktis riset komunikasi: disertai contoh praktis riset media public relations advertising komunikasi organisasi komunikasi pemasaran,,,,,,,,,,,,,,,,,,,,,,,
fisika: untuk sains dan teknik; jilid 1,,,,,,,,,,,,,,,,,,,,,,,
manajemen keperawatan : aplikasi dalam praktik keperawatan profesional edisi 3,promosi kesehatan teori dan aplikasi,,,,,,,,,,,,,,,,,,,,,,
ayahku ( bukan ) pembohong,catatan seorang demonstran,memoar pulau buru,tokoh- tokoh gelap ( yang terlupakan ) dalam peristiwa g 30 s,,,,,,,,,,,,,,,,,,,,
a quick and effective strategy to understand structure & written expression toefl test ( kupas tuntas strategi cepat & efektif memahami soal structure & written expression ),fisika: prinsip dan aplikasi edisi ketujuh jilid 2,kimia dasar: konsep-konsep inti edisi ketiga jilid 1,,,,,,,,,,,,,,,,,,,,,
aljabar linear elementer: versi aplikasi edisi kedelapan jilid i,,,,,,,,,,,,,,,,,,,,,,,
psikologi positif: pendekatan saintifik menuju kebahagiaan,,,,,,,,,,,,,,,,,,,,,,,
grammar guide ; english grammar in context,mikroekonomi: teori pengantar edisi ketiga,,,,,,,,,,,,,,,,,,,,,,
nineteen eighty-four,the makioka sisters,,,,,,,,,,,,,,,,,,,,,,
ayahku ( bukan ) pembohong,jack ma: sisi-sisi tak terduga sang godfather bisnis china,kau aku dan sepucuk angpau merah,,,,,,,,,,,,,,,,,,,,,
